A
AA
AAL
AAPL
ABBV
ABC
ABT
ABX
ACE
ACHN
ACN
ACT
ADBE
ADI
ADM
ADP
ADS
ADSK
ADT
AEE
AEP
AES
AET
AFL
AGN
AIG
AIV
AIZ
AKAM
AKS
ALL
ALLE
ALTR
ALU
ALXN
AMAT
AMBA
AMD
AME
AMG
AMGN
AMP
AMT
AMZN
AN
ANF
ANR
ANTM
ANV
AON
APA
APC
APD
APH
APOL
ARCP
ARG
ATI
ATLS
ATVI
AUY
AVB
AVGO
AVNR
AVP
AVY
AXP
AZO
BA
BABA
BAC
BAX
BBBY
BBRY
BBT
BBY
BCR
BDX
BEN
BF.B
BHI
BIDU
BIIB
BK
BLK
BLL
BMY
BP
BRCM
BRK.B
BRKB
BSX
BTU
BWA
BX
BXP
C
CA
CAG
CAH
CAM
CAT
CB
CBG
CBI
CBS
CBST
CCE
CCI
CCL
CELG
CERN
CF
CFN
CHK
CHRW
CI
CIEN
CIM
CINF
CL
CLF
CLR
CLX
CMA
CMCSA
CME
CMG
CMI
CMS
CNP
CNX
COF
COG
COH
COL
CONN
COP
COST
COV
CPB
CREE
CRM
CSC
CSCO
CSIQ
CSX
CTAS
CTL
CTSH
CTXS
CVC
CVS
CVX
CX
CY
CZR
D
DAL
DD
DDD
DE
DFS
DG
DGX
DHI
DHR
DIS
DISCA
DISCK
DLPH
DLTR
DNB
DNR
DO
DOV
DOW
DPS
DRI
DRYS
DTE
DTV
DUK
DVA
DVN
EA
EBAY
ECL
ED
EFX
EIX
EL
EMC
EMES
EMN
EMR
EOG
EQR
EQT
ESRX
ESS
ESV
ETFC
ETN
ETR
EW
EXC
EXPD
EXPE
EXXI
F
FAST
FB
FCAU
FCX
FDO
FDX
FE
FEYE
FFIV
FIS
FISV
FITB
FLIR
FLR
FLS
FMC
FOSL
FOXA
FSLR
FSTO
FTI
FTR
GAS
GCI
GD
GDP
GE
GG
GGP
GILD
GIS
GLNG
GLW
GM
GMCR
GME
GNW
GOOG
GOOGL
GPC
GPRE
GPRO
GPS
GRMN
GRPN
GS
GT
GWW
HAL
HAR
HAS
HBAN
HCA
HCBK
HCN
HCP
HD
HES
HIG
HLF
HOG
HON
HOT
HP
HPQ
HRB
HRL
HRS
HSP
HST
HSY
HTZ
HUM
IBM
ICE
IFF
INTC
INTU
INVN
IP
IPG
IR
IRM
ISRG
ITW
IVZ
JBLU
JCI
JCP
JD
JEC
JNJ
JNPR
JOY
JPM
JWN
K
KEY
KIM
KLAC
KMB
KMI
KMX
KO
KORS
KR
KRFT
KSS
KSU
L
LB
LE
LEG
LEN
LH
LINE
LLL
LLTC
LLY
LM
LMT
LNC
LNG
LNKD
LO
LOW
LRCX
LUK
LULU
LUV
LVLT
LVS
LYB
M
MA
MAC
MAR
MAS
MAT
MBLY
MCD
MCHP
MCK
MCO
MCP
MDLZ
MDT
MET
MGM
MHFI
MHK
MJN
MKC
MLM
MMC
MMM
MNK
MNKD
MNST
MO
MON
MOS
MPC
MRK
MRO
MS
MSFT
MSI
MTB
MU
MUR
MWV
MYL
NAVI
NBL
NBR
NDAQ
NE
NEE
NEM
NFLX
NFX
NI
NKE
NLSN
NOC
NOK
NOV
NQ
NRG
NSC
NSM
NTAP
NTRS
NU
NUE
NVDA
NWL
NWSA
OCN
ODP
OI
OKE
OMC
OPK
ORCL
ORLY
OXY
P
PANW
PAY
PAYX
PBCT
PBI
PBR
PCAR
PCG
PCL
PCLN
PCP
PDCO
PEG
PEP
PETM
PFE
PFG
PG
PGR
PH
PHM
PKI
PLD
PLL
PLUG
PM
PNC
PNR
PNW
POM
POT
PPG
PPL
PRGO
PRU
PSA
PSX
PVA
PVH
PWR
PX
PXD
QCOM
QEP
QIHU
QSR
R
RAD
RAI
RCL
REGN
RF
RFMD
RH
RHI
RHT
RIG
RIO
RL
ROK
ROP
ROST
RRC
RSG
RSH
RTN
S
SBUX
SCG
SCHW
SCTY
SD
SDRL
SE
SEE
SHLD
SHW
SIAL
SIRI
SJM
SLB
SLW
SNA
SNDK
SNI
SO
SPG
SPLS
SPY
SRCL
SRE
STI
STJ
STT
STX
STZ
SUNE
SWK
SWKS
SWN
SWY
SYK
SYMC
SYY
T
TAP
TASR
TC
TDC
TE
TEG
TEL
TEVA
TGT
THC
TIF
TJX
TLM
TMK
TMO
TRIP
TROW
TRV
TSCO
TSL
TSLA
TSN
TSO
TSS
TWC
TWTR
TWX
TXN
TXT
TYC
UA
UAL
UHS
UNH
UNM
UNP
UPS
URBN
URI
USB
UTX
V
VALE
VAR
VFC
VIAB
VIPS
VLCCF
VLO
VMC
VNO
VRSN
VRTX
VTR
VZ
WAG
WAT
WDC
WEC
WFC
WFM
WFT
WHR
WIN
WLL
WLT
WM
WMB
WMT
WU
WY
WYN
WYNN
X
XEC
XEL
XL
XLNX
XOM
XRAY
XRX
XYL
YELP
YHOO
YNDX
YUM
Z
ZION
ZMH
ZNGA
ZTS
IWM
QQQ
VXX
USO
EEM
GLD
GDX
XLF
SLV
XLE
TLT
EFA
FXI
EWZ
DIA
XOP
UVXY
UNG
IYR
TBT
FXE
HYG
NUGT
OIH
XHB
XLU
RSX
UUP
TZA
DXJ
SDS
FXCM
ARNA
